c_report_date,c_fd_code,c_stk_pos_avg,c_stk_pos_chg_avg,c_stk_pos_level,c_stk_timing,c_updatetime
2025-09-30,000354,91.573800,3.707100,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000354,91.137500,5.612900,高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000362,90.757500,3.644300,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000362,91.170000,3.782900,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000362,91.763800,3.087100,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000363,90.757500,3.644300,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000363,91.170000,3.782900,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000363,91.763800,3.087100,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000390,87.032500,2.130000,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000390,86.285000,2.264300,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000390,86.592500,2.647100,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000398,93.786300,1.555700,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000398,93.853800,1.125700,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000398,94.411300,0.598600,高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000404,88.018800,5.992900,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000404,87.605000,6.064300,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000404,85.631300,7.197100,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000408,84.191300,7.967100,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000408,84.170000,7.715700,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000408,84.351300,7.118600,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000409,88.063800,3.230000,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000409,87.105000,3.694300,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000409,85.738800,2.925700,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000411,84.515000,4.841400,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000411,84.678800,4.897100,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000411,84.913800,3.754300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000418,88.882500,4.375700,中高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000418,88.810000,4.385700,中高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000418,88.157500,4.562900,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000423,76.138800,30.901400,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000423,73.736300,28.467100,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000423,75.185000,26.011400,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000431,92.001300,1.711400,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000431,90.536300,2.091400,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000431,89.130000,2.614300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000432,91.178800,1.732900,高仓位,不择时,2026-02-25 18:15:19.294
2025-09-30,000432,90.477500,1.862900,高仓位,不择时,2026-02-26 09:27:32.215
2025-06-30,000432,89.486300,1.744300,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000433,77.190000,7.268600,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000433,77.706300,9.831400,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000433,78.082500,9.444300,中高仓位,择时,2026-02-26 09:27:15.134
2025-12-31,000452,87.472500,7.261400,中高仓位,择时,2026-02-25 18:15:19.294
2025-09-30,000452,87.735000,5.435700,中高仓位,择时,2026-02-26 09:27:32.215
2025-06-30,000452,89.630000,3.451400,中高仓位,不择时,2026-02-26 09:27:15.134
2025-12-31,000457,85.548800,4.997100,中高仓位,不择时,2026-02-25 18:15:19.294
