c_fd_code,c_report_date,c_bd_code,c_bd_type,c_style,c_notice_date,c_bd_inner_code,c_bd_name,c_hold_num,c_hold_value,c_nav_ratio,c_is_stat
000198,2025-12-31,112515242,1,06,2026-01-22,1004390440,25民生银行CD242,20000000.000000,1993037472.170000,0.260000,-1
000198,2025-12-31,112513106,1,06,2026-01-22,1004360433,25浙商银行CD106,20000000.000000,1994874589.130000,0.260000,-1
000198,2025-12-31,112509321,1,06,2026-01-22,1004495311,25浦发银行CD321,20000000.000000,1994073626.200000,0.260000,-1
000198,2025-12-31,112505436,1,06,2026-01-22,1004511076,25建设银行CD436,20000000.000000,1993189529.370000,0.260000,-1
000198,2025-12-31,112504060,1,06,2026-01-22,1004360591,25中国银行CD060,20000000.000000,1994905121.280000,0.260000,-1
000198,2025-12-31,112503320,1,06,2026-01-22,1004388899,25农业银行CD320,20000000.000000,1993168240.010000,0.260000,-1
000198,2025-12-31,112503316,1,06,2026-01-22,1004387325,25农业银行CD316,20000000.000000,1993257979.900000,0.260000,-1
000198,2025-09-30,112515254,1,03,2025-10-28,1004396596,25民生银行CD254,31000000.000000,3062152446.400000,0.390000,-1
000198,2025-09-30,112515133,1,03,2025-10-28,1004270691,25民生银行CD133,30000000.000000,2990415393.810000,0.380000,-1
000198,2025-09-30,112515106,1,03,2025-10-28,1004234348,25民生银行CD106,30000000.000000,2968584613.570000,0.380000,-1
000198,2025-09-30,112512082,1,03,2025-10-28,1004280990,25北京银行CD082,20000000.000000,1993120198.370000,0.250000,-1
000198,2025-09-30,112521204,1,03,2025-10-28,1004270888,25渤海银行CD204,20000000.000000,1993610262.470000,0.250000,-1
000198,2025-09-30,112597441,1,03,2025-10-28,1004270683,25南京银行CD123,20000000.000000,1993610262.470000,0.250000,-1
000198,2025-09-30,112597767,1,03,2025-10-28,1004272985,25南京银行CD130,20000000.000000,1993581368.150000,0.250000,-1
000198,2025-09-30,112414226,1,03,2025-10-28,1003976166,24江苏银行CD226,20000000.000000,1998273195.340000,0.250000,-1
000198,2025-09-30,112515124,1,03,2025-10-28,1004254489,25民生银行CD124,20000000.000000,1994627536.390000,0.250000,-1
000198,2025-09-30,112513106,1,03,2025-10-28,1004360433,25浙商银行CD106,20000000.000000,1986629690.630000,0.250000,-1
000198,2025-09-30,112504060,1,03,2025-10-28,1004360591,25中国银行CD060,20000000.000000,1986709174.080000,0.250000,-1
000198,2025-06-30,112510111,1,02,2025-08-29,1004268094,25兴业银行CD111,50000000.000000,4984954555.360000,0.630000,-1
000198,2025-06-30,112510111,1,05,2025-07-21,1004268094,25兴业银行CD111,50000000.000000,4984954555.360000,0.630000,-1
000198,2025-06-30,112404053,1,02,2025-08-29,1003933564,24中国银行CD053,49000000.000000,4881701551.500000,0.620000,-1
000198,2025-06-30,112404053,1,05,2025-07-21,1003933564,24中国银行CD053,49000000.000000,4881701551.500000,0.620000,-1
000198,2025-06-30,112510114,1,05,2025-07-21,1004271958,25兴业银行CD114,40000000.000000,3987285018.270000,0.500000,-1
000198,2025-06-30,112510114,1,02,2025-08-29,1004271958,25兴业银行CD114,40000000.000000,3987285018.270000,0.500000,-1
000198,2025-06-30,112510117,1,05,2025-07-21,1004273086,25兴业银行CD117,39000000.000000,3887504940.020000,0.490000,-1
000198,2025-06-30,112510117,1,02,2025-08-29,1004273086,25兴业银行CD117,39000000.000000,3887504940.020000,0.490000,-1
000198,2025-06-30,112515133,1,05,2025-07-21,1004270691,25民生银行CD133,30000000.000000,2977683535.160000,0.380000,-1
000198,2025-06-30,112515133,1,02,2025-08-29,1004270691,25民生银行CD133,30000000.000000,2977683535.160000,0.380000,-1
000198,2025-06-30,112510095,1,02,2025-08-29,1004234332,25兴业银行CD095,30000000.000000,2994612823.860000,0.380000,-1
000198,2025-06-30,112510095,1,05,2025-07-21,1004234332,25兴业银行CD095,30000000.000000,2994612823.860000,0.380000,-1
000198,2025-06-30,112515106,1,05,2025-07-21,1004234348,25民生银行CD106,30000000.000000,2955485609.740000,0.370000,-1
